name,model,steps,prompt,strategy,batch_size,gen_length,ignore_pad,n_problems,temperature,use_confidence_weighting,avg_diversity,avg_time,cumulative_at_1,cumulative_at_10,cumulative_at_11,cumulative_at_12,cumulative_at_13,cumulative_at_14,cumulative_at_15,cumulative_at_16,cumulative_at_2,cumulative_at_3,cumulative_at_4,cumulative_at_5,cumulative_at_6,cumulative_at_7,cumulative_at_8,cumulative_at_9,pass_at_1,pass_at_10,pass_at_11,pass_at_12,pass_at_13,pass_at_14,pass_at_15,pass_at_16,pass_at_2,pass_at_3,pass_at_4,pass_at_5,pass_at_6,pass_at_7,pass_at_8,pass_at_9,std_diversity,std_time
trial_0_orthogonal_projection_alpha2.0_temp0.0,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 2, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",16,64,False,300,0.0,True,0.1246197250921551,28.58542491459265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1951219512195122,0.3841463414634146,0.3841463414634146,0.3902439024390244,0.3902439024390244,0.4024390243902439,0.4024390243902439,0.4024390243902439,0.25,0.274390243902439,0.3109756097560975,0.3475609756097561,0.3475609756097561,0.3536585365853658,0.3780487804878049,0.3780487804878049,0.142570622052453,6.721343846682997
trial_1_orthogonal_projection_alpha2.0_temp0.5,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 2, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",16,64,False,300,0.5,True,0.19508597363786,29.93851183245821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2134146341463414,0.3719512195121951,0.3719512195121951,0.3719512195121951,0.3780487804878049,0.3841463414634146,0.4024390243902439,0.4085365853658536,0.2378048780487804,0.2804878048780488,0.2926829268292683,0.3109756097560975,0.3292682926829268,0.3292682926829268,0.3475609756097561,0.3658536585365853,0.1747024274138197,8.530298391612053
trial_3_orthogonal_projection_alpha2.0_temp1.5,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 2, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",16,64,False,300,1.5,True,0.3839363842839148,30.069599850875576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1585365853658536,0.4329268292682927,0.4390243902439024,0.4390243902439024,0.4451219512195122,0.4451219512195122,0.4451219512195122,0.4512195121951219,0.2256097560975609,0.274390243902439,0.298780487804878,0.3475609756097561,0.3597560975609756,0.3902439024390244,0.4024390243902439,0.4146341463414634,0.1732074374865294,8.570586371897669
trial_4_orthogonal_projection_alpha2.0_temp2.0,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 2, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",16,64,False,300,2.0,True,0.5349754702027251,33.1128775753626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048780487804878,0.048780487804878,0.0670731707317073,0.0792682926829268,0.0792682926829268,0.0853658536585365,0.0914634146341463,0.0060975609756097,0.0121951219512195,0.0121951219512195,0.0304878048780487,0.0304878048780487,0.0304878048780487,0.0426829268292682,0.0426829268292682,0.0788507712833715,7.941942500613436
trial_5_orthogonal_projection_alpha8.0_temp0.0,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 8, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",16,64,False,300,0.0,True,0.208939225026747,27.4034929260975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2073170731707317,0.4207317073170731,0.4207317073170731,0.4268292682926829,0.4451219512195122,0.4756097560975609,0.4939024390243902,0.5,0.2865853658536585,0.3231707317073171,0.3597560975609756,0.3658536585365853,0.3841463414634146,0.4085365853658536,0.4085365853658536,0.4085365853658536,0.1199545759351643,7.691041202908416
trial_6_orthogonal_projection_alpha8.0_temp0.5,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 8, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",16,64,False,300,0.5,True,0.2233358323574066,28.496747931329217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1951219512195122,0.4085365853658536,0.4146341463414634,0.4390243902439024,0.4512195121951219,0.4756097560975609,0.4817073170731707,0.4878048780487805,0.274390243902439,0.3048780487804878,0.3414634146341463,0.3658536585365853,0.3902439024390244,0.4024390243902439,0.4024390243902439,0.4024390243902439,0.1267756134545077,8.075063711114927
trial_7_orthogonal_projection_alpha8.0_temp1.0,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 8, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",16,64,False,300,1.0,True,0.2499283835655305,30.027272590776768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1707317073170731,0.4695121951219512,0.4939024390243902,0.4939024390243902,0.5060975609756098,0.5182926829268293,0.524390243902439,0.524390243902439,0.2317073170731707,0.3475609756097561,0.3719512195121951,0.3719512195121951,0.3963414634146341,0.4146341463414634,0.4268292682926829,0.4390243902439024,0.1223108940088566,8.517939050196699
trial_8_orthogonal_projection_alpha8.0_temp1.5,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 8, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",16,64,False,300,1.5,True,0.3055848759122011,30.20564566152852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463414634146341,0.4390243902439024,0.4451219512195122,0.4512195121951219,0.4573170731707317,0.4634146341463415,0.4695121951219512,0.4695121951219512,0.25,0.3048780487804878,0.3353658536585366,0.3536585365853658,0.3841463414634146,0.4085365853658536,0.4146341463414634,0.4268292682926829,0.1183050117384268,8.598715558708097
trial_9_orthogonal_projection_alpha8.0_temp2.0,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 8, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",16,64,False,300,2.0,True,0.4928762655614352,33.14917764721847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1036585365853658,0.1097560975609756,0.1219512195121951,0.1280487804878048,0.1341463414634146,0.1341463414634146,0.1341463414634146,0.0304878048780487,0.0426829268292682,0.0426829268292682,0.0609756097560975,0.0670731707317073,0.0792682926829268,0.0914634146341463,0.0975609756097561,0.0869180117055141,7.96585625933478
trial_10_orthogonal_projection_alpha16.0_temp0.0,"{'name': 'GSAI-ML/LLaDA-8B-Instruct', 'load_in_4bit': True, 'mask_token_id': 126336}",32,Write a python function to compute fibonacci.,"{'name': 'orthogonal_projection', 'pool': 'max', 'alpha': 16, 'top_k': 0, 'target': 'logits', 'quality_scale': 1}",16,64,False,300,0.0,True,0.226892009922644,27.3895071686768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2073170731707317,0.4085365853658536,0.4085365853658536,0.4329268292682927,0.4390243902439024,0.4451219512195122,0.4451219512195122,0.4451219512195122,0.3048780487804878,0.3292682926829268,0.3475609756097561,0.3536585365853658,0.3719512195121951,0.4024390243902439,0.4024390243902439,0.4085365853658536,0.1255495211931037,7.668939009004213
